ID                    NoPrg_chip1
CHUMBO_GROSSO                  0
DOUBLE_BLACK                   0
DRAGON                         0
EMBRA001                       0
EMBRA002                       0
EMBRA003                       0
EMBRA004                       0
EMBRA005                       0
EMBRA006                       0
EMBRA007                       0
EMBRA008                       0
EMBRA009                       0
EMBRA010                       0
EMBRA011                       0
EMBRA012                       0
EMBRA013                       0
EMBRA014                       0
EMBRA015                       0
EMBRA016                       0
EMBRA017                       0
EMBRA018                       0
EMBRA019                       0
EMBRA020                       0
EMBRA021                       0
EMBRA022                       0
EMBRA023                       0
EMBRA024                       0
EMBRA025                       0
EMBRA026                       0
EMBRA027                       0
EMBRA028                       0
EMBRA073                       0
EMBRA074                       0
EMBRA075                       0
EMBRA076                       0
EMBRA077                       0
EMBRA078                       0
EMBRA079                       0
EMBRA080                       0
EMBRA081                       0
EMBRA082                       0
EMBRA083                       0
EMBRA084                       0
EMBRA085                       0
EMBRA086                       0
EMBRA087                       0
EMBRA088                       0
EMBRA089                       0
EMBRA090                       0
EMBRA091                       0
EMBRA092                       0
EMBRA093                       0
EMBRA094                       0
EMBRA095                       0
EMBRA096                       0
EMBRA097                       0
EMBRA098                       0
EMBRA099                       0
EMBRA100                       0
EMBRA101                       0
EMBRA102                       0
EMBRA103                       0
EMBRA104                       0
EMBRA105                       0
EMBRA106                       0
EMBRA107                       0
EMBRA108                       0
EMBRA109                       0
EMBRA110                       0
EMBRA111                       0
EMBRA112                       0
EMBRA113                       0
EMBRA114                       0
EMBRA115                       0
EMBRA116                       0
EMBRA117                       0
EMBRA118                       0
EMBRA119                       0
EMBRA120                       0
EMBRA121                       0
EMBRA122                       0
EMBRA123                       0
EMBRA124                       0
EMBRA125                       0
EMBRA126                       0
EMBRA127                       0
EMBRA128                       0
EMBRA129                       0
EMBRA130                       0
EMBRA131                       0
EMBRA132                       0
EMBRA133                       0
EMBRA134                       0
EMBRA135                       0
EMBRA136                       0
EMBRA137                       0
EMBRA138                       0
EMBRA139                       0
EMBRA140                       0
EMBRA141                       0
EMBRA142                       0
EMBRA143                       0
EMBRA144                       0
EMBRA145                       0
EMBRA146                       0
EMBRA147                       0
EMBRA148                       0
EMBRA149                       0
EMBRA150                       0
EMBRA151                       0
EMBRA152                       0
EMBRA153                       0
EMBRA154                       0
EMBRA155                       0
EMBRA156                       0
EMBRA157                       0
EMBRA158                       0
EMBRA159                       0
EMBRA160                       0
EMBRA161                       0
EMBRA162                       0
EMBRA163                       0
EMBRA164                       0
K321                           0
K327                           0
K429                           0
K431                           0
K452                           0
K500                           0
K522                           0
K533                           0
K538                           0
K541                           0
K562                           0
KARUBOY                        0
L353                           0
L359                           0
L366                           0
L369                           0
L37                            0
L373                           0
L374                           0
L378                           0
L389                           0
L429                           0
L444                           0
L447                           0
L521                           0
L529                           0
L530                           0
L531                           0
L535                           0
L536                           0
L539                           0
L543                           0
L548                           0
L558                           0
L564                           0
L574                           0
L576                           0
L578                           0
L579                           0
L580                           0
L582                           0
L583                           0
L584                           0
L592                           0
L594                           0
L605                           0
L627                           0
L636                           0
L643                           0
LOTUS                          0
PACOTE                         0
PROFETA                        0
ROBUSTO                        0
SANTARITA                      0
SPARTACUS                      0
UDO                            0
